customerID,companyName,contactName,contactTitle,city,country
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Mexico City,Mexico
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mexico City,Mexico
AROUT,Around the Horn,Thomas Hardy,Sales Representative,London,Uk
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Luleå,Sweden
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Mannheim,Germany
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,Madrid,Spain
BONAP,Bon app',Laurence Lebihan,Owner,Marseille,France
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,London,Uk
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Buenos Aires,Argentina
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Sao Paulo,Brazil
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,Uk
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Germany
DUMON,Du monde entier,Janine Labrune,Owner,Nantes,France
EASTC,Eastern Connection,Ann Devon,Sales Agent,London,Uk
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Madrid,Spain
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,Lille,France
FOLKO,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden
FRANK,Frankenversand,Peter Franken,Marketing Manager,München,Germany
FRANR,France restauration,Carine Schmitt,Marketing Manager,Nantes,France
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Italy
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,Sevilla,Spain
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Campinas,Brazil
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,Eugene,Usa
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio De Janeiro,Brazil
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,Usa
HUNGO,Hungry Owl All-Night Grocers,Patricia Mckenna,Sales Associate,Cork,Ireland
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Cowes,Uk
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Brandenburg,Germany
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,Versailles,France
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Vancouver,Canada
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,Walla Walla,Usa
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt A.M.,Germany
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,San Francisco,Usa
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Barquisimeto,Venezuela
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,I. De Margarita,Venezuela
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,Portland,Usa
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Bruxelles,Belgium
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Canada
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany
NORTS,North/South,Simon Crowther,Sales Associate,London,Uk
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Argentina
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,Usa
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany
PARIS,Paris spécialités,Marie Bertrand,Owner,Paris,France
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Mexico City,Mexico
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria
PRINI,Princesa Isabel Vinhos,Isabel De Castro,Sales Representative,Lisboa,Portugal
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rio De Janeiro,Brazil
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Sao Paulo,Brazil
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Buenos Aires,Argentina
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,Usa
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio De Janeiro,Brazil
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,Switzerland
